match_type,depth_A,depth_B,similarity,product_A,map_A,product_B,map_B,title_A,title_B,contentId_A,contentId_B
contentId,4,4,1.0000,cloud,posture,cloud,runtime,Plan your playbook,Plan your playbook,IdVWSVqwNY~3ciQirykOqQ,IdVWSVqwNY~3ciQirykOqQ
contentId,4,4,1.0000,cloud,posture,cloud,runtime,Playbook development checklist,Playbook development checklist,s5DFAgt3KBowou~_1PpXMw,s5DFAgt3KBowou~_1PpXMw
contentId,4,4,1.0000,cloud,posture,cloud,runtime,Playbooks overview,Playbooks overview,nTv6sC~_bWIIJyKzogHJkA,nTv6sC~_bWIIJyKzogHJkA
contentId,4,5,1.0000,cloud,appsec,cloud,posture,Pre-commit hook usage,Pre-commit hook usage,e8axx3uu1SNgqLc8kVdNhA,e8axx3uu1SNgqLc8kVdNhA
contentId,4,5,1.0000,cloud,appsec,cloud,runtime,Pre-commit hook usage,Pre-commit hook usage,e8axx3uu1SNgqLc8kVdNhA,e8axx3uu1SNgqLc8kVdNhA
contentId,4,7,1.0000,cloud,appsec,xsiam,xsiam_3,Pre-commit hook usage,Pre-commit hook usage,e8axx3uu1SNgqLc8kVdNhA,e8axx3uu1SNgqLc8kVdNhA
contentId,4,5,1.0000,cloud,appsec,cloud,posture,Pre-receive hook usage,Pre-receive hook usage,Gqx6AnD6u~RekTpdDxs3zw,Gqx6AnD6u~RekTpdDxs3zw
contentId,4,5,1.0000,cloud,appsec,cloud,runtime,Pre-receive hook usage,Pre-receive hook usage,Gqx6AnD6u~RekTpdDxs3zw,Gqx6AnD6u~RekTpdDxs3zw
contentId,4,7,1.0000,cloud,appsec,xsiam,xsiam_3,Pre-receive hook usage,Pre-receive hook usage,Gqx6AnD6u~RekTpdDxs3zw,Gqx6AnD6u~RekTpdDxs3zw
contentId,4,4,1.0000,cloud,posture,cloud,runtime,Query across all entities,Query across all entities,fqVIVucWjUd2BuMs~UhtNw,fqVIVucWjUd2BuMs~UhtNw
contentId,4,4,1.0000,cloud,posture,xdr,xdr_5,Query across all entities,Query across all entities,fqVIVucWjUd2BuMs~UhtNw,fqVIVucWjUd2BuMs~UhtNw
contentId,4,4,1.0000,cloud,runtime,xdr,xdr_5,Query across all entities,Query across all entities,fqVIVucWjUd2BuMs~UhtNw,fqVIVucWjUd2BuMs~UhtNw
contentId,4,4,1.0000,cloud,posture,cloud,runtime,Register actions,Register actions,5s~41SaMP3hq9SnmuR1eVw,5s~41SaMP3hq9SnmuR1eVw
contentId,4,4,1.0000,cloud,posture,cloud,runtime,Remove an engine,Remove an engine,UjzngCv_qYSu73nvejzy4Q,UjzngCv_qYSu73nvejzy4Q
contentId,4,4,1.0000,cloud,posture,cloud,runtime,Resolution Center,Resolution Center,zZYIk2AOtJOTP0HkkLiCiA,zZYIk2AOtJOTP0HkkLiCiA
contentId,4,4,1.0000,cloud,posture,cloud,runtime,Resolution reasons for cases and issues,Resolution reasons for cases and issues,9UvUQff_7kLDb0_Xgr8hag,9UvUQff_7kLDb0_Xgr8hag
contentId,4,4,1.0000,cloud,posture,cloud,runtime,Resolve a case,Resolve a case,~_JkSGToJKleCjvVj0RQtw,~_JkSGToJKleCjvVj0RQtw
contentId,4,4,1.0000,xdr,xdr_5,xsiam,xsiam_3,Resources required to enable access to XDR Collectors,Resources required to enable access to XDR Collectors,meYfmvxlBwX2t8XdHNYNjw,meYfmvxlBwX2t8XdHNYNjw
contentId,4,4,1.0000,xdr,xdr_5,xsiam,xsiam_3,Review MITRE ATT&CK framework coverage,Review MITRE ATT&CK framework coverage,8QXe0Gou~TIFizWFUhWsMQ,8QXe0Gou~TIFizWFUhWsMQ
contentId,4,4,1.0000,cloud,posture,cloud,runtime,Review XQL query results,Review XQL query results,sig5hzmXrrAVtO6NVNILhg,sig5hzmXrrAVtO6NVNILhg
contentId,4,4,1.0000,cloud,posture,xdr,xdr_5,Review XQL query results,Review XQL query results,sig5hzmXrrAVtO6NVNILhg,sig5hzmXrrAVtO6NVNILhg
contentId,4,4,1.0000,cloud,runtime,xdr,xdr_5,Review XQL query results,Review XQL query results,sig5hzmXrrAVtO6NVNILhg,sig5hzmXrrAVtO6NVNILhg
contentId,4,4,1.0000,cloud,posture,cloud,runtime,Run a script using an engine,Run a script using an engine,f_vJk8IlbZOdUnR24cjZWw,f_vJk8IlbZOdUnR24cjZWw
contentId,4,4,1.0000,cloud,posture,cloud,runtime,Scan re-evaluation process,Scan re-evaluation process,L5XDssNbYs4D5sW39A6dBw,L5XDssNbYs4D5sW39A6dBw
contentId,4,4,1.0000,cloud,posture,xdr,xdr_5,Scan re-evaluation process,Scan re-evaluation process,L5XDssNbYs4D5sW39A6dBw,L5XDssNbYs4D5sW39A6dBw
